CODIGO	MUNICIPIO	ENDERECO	COORD_GEO_LAT_GRAU	COORD_GEO_LONG_GRAU	Altitude	RECURSO_HIDRICO	DATA_COLETA	ANO_COLETA	Alcalinidade	Condutividade	DBO	IQA_DBO	DQO	Escherichia coli	Fosfato orto	Fósforo total	IQA_Ptot	Nitrato	Nitrito	Nitrogênio orgânico	Nitrogênio amoniacal	Nitrogênio Kjeldahl	Nitrogênio total	IQA_NitroTot	Oxigênio dissolvido	%sat OD	IQA_OD	pH	IQA_pH	SDT	SST	Temperatura água	Temperatura ar	Transparência água	Turbidez	IQA_Turb	Vazao rio	Vazao	Coliformes termotol	IQA_coli	Sólidos totais	IQA_Sól_Tot	IQA_^OD	IQA_^temp_agua	IQA_^coli	IQA_^pH	IQA_^DBO	IQA_^NitroTot	IQA_^Ptot	IQA_^Turb	IQA_^Sól_Tot	IQA	latitude_corrigida	longitude_corrigida
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	07/10/1992	1992		40,00	4,000	61,05	44	40,00				620							7,600	83,094	88,36	6,00	60,27			20,00		35					50,00	47,21	84	86,02	2,142	1,580	1,783	1,635	1,149				1,428	0,000	-29,9507487	-50,9341363
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	08/09/1992	1992		50,00	1,000	88,37	38	2,40		0,048	87,30	500							7,060	75,647	82,05	6,47	79,14			19,00							3,00	84,02	106	85,12	2,115	1,580	1,944	1,690	1,000		1,564		1,427	0,000	-29,9505472	-51,0006352
87398950	GRAVATAI - RS	A PE NO TREVO, NA PONTE VELHA OU DE BARCO VINDO DA PRAINHA	-51,0006352	-29,9505472	7	RIO GRAVATAI	07/10/1992	1992		40,00	1,000	88,37	52	560,00				500							6,800	74,338	80,59	6,47	79,14			20,00		35					700,00	23,36	86	85,98	2,109	1,580	1,604	1,690	1,000				1,428	0,000	-29,9505472	-51,0006352
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	08/09/1992	1992		85,00	2,400	74,36	50	240,00		0,046	87,79	140							7,020	75,165	81,53	7,02	91,62			19,00							300,00	29,99	118	84,19	2,113	1,580	1,665	1,720	1,091		1,564		1,426	0,000	-29,9338548	-50,6005399
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	12/05/1992	1992		100,00	4,000	61,05	160												7,000	77,993	84,42	6,74	86,37			21,00											2,126	1,580		1,708	1,149					0,000	-29,9338548	-50,6005399
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	16/06/1992	1992		76,00	2,000	78,12	68	176,00											9,100	89,588	92,74	6,80	87,72			15,00							220,00	32,66	114	84,53	2,160	1,580	1,687	1,711	1,072				1,426	0,000	-29,9338548	-50,6005399
87398500	SANTO ANTONIO DA PATRULHA - RS	A PE VINDO DA ESTRADA VELHA DE SANTO ANTONIO	-50,6005399	-29,9338548	13	ARROIO CHICOLUMA	07/10/1992	1992		50,00	3,000	69,06	36	192,00											8,800	92,318	94,66	6,93	90,32			18,00		35					240,00	31,89	92	85,81	2,167	1,580	1,681	1,717	1,116				1,428	0,000	-29,9338548	-50,6005399
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	09/12/1992	1992		64,00	2,000	78,12		2080,00		0,059	84,64								5,930	72,622	78,54	6,20	69,80			26,00		20	21,00	60,75			2600,00	15,03	142	81,38	2,100	1,580	1,502	1,664	1,072		1,559	1,389	1,422	0,000	-29,9507487	-50,9341363
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	09/12/1992	1992		63,00	2,000	78,12	51	40,00		0,059	84,64								5,930			6,03	61,65				26,00						50,00	47,21	142	81,38			1,783	1,640	1,072		1,559		1,422	0,000	-29,9507487	-50,9341363
87398900	GRAVATAI - RS	A PE VINDO DE CARRO PELA POLICIA RODOVIARIA DA FREE-WAY OU PELA RS-118	-50,9341363	-29,9507487	6	RIO GRAVATAI	16/06/1992	1992		40,00	1,000	88,37	72	104,00											6,900	70,954	76,40	6,00	60,27			17,00							130,00	37,48	474	35,70	2,090	1,580	1,722	1,635	1,000				1,331	0,000	-29,9507487	-50,9341363
